iter	Passed	Remaining
0	136	136074
1	136	68084
2	136	45393
3	136	34053
4	136	27239
5	136	22629
6	136	19403
7	136	16979
8	137	15094
9	137	13591
10	137	12355
11	137	11329
12	137	10464
13	138	9719
14	138	9070
15	138	8505
16	138	8005
17	138	7557
18	138	7160
19	138	6802
20	138	6476
21	140	6225
22	139	5916
23	139	5669
24	139	5443
25	139	5236
26	139	5042
27	140	4878
28	140	4712
29	140	4542
30	141	4407
31	141	4270
32	141	4142
33	141	4024
34	141	3911
35	142	3803
36	142	3702
37	142	3603
38	142	3512
39	142	3426
40	142	3344
41	143	3263
42	143	3189
43	143	3116
44	143	3048
45	143	2982
46	143	2919
47	144	2860
48	144	2803
49	144	2747
50	144	2693
51	144	2642
52	145	2592
53	145	2545
54	145	2499
55	145	2455
56	145	2412
57	145	2370
58	146	2329
59	146	2290
60	146	2252
61	146	2216
62	146	2179
63	146	2146
64	146	2114
65	147	2082
66	147	2050
67	147	2020
68	147	1990
69	147	1962
70	147	1934
71	147	1907
72	148	1881
73	148	1856
74	148	1831
75	148	1807
76	148	1783
77	149	1761
78	149	1739
79	149	1717
80	149	1696
81	149	1676
82	149	1656
83	150	1636
84	150	1617
85	150	1598
86	150	1581
87	150	1562
88	150	1544
89	151	1527
90	151	1510
91	151	1494
92	151	1479
93	151	1464
94	152	1448
95	152	1433
96	152	1418
97	152	1403
98	152	1390
99	152	1376
100	153	1362
101	153	1348
102	153	1336
103	153	1323
104	153	1310
105	153	1298
106	154	1286
107	154	1274
108	154	1263
109	154	1251
110	154	1240
111	155	1228
112	155	1217
113	155	1206
114	155	1196
115	155	1185
116	155	1175
117	155	1165
118	156	1159
119	156	1150
120	157	1141
121	157	1131
122	157	1122
123	157	1114
124	157	1105
125	158	1096
126	158	1087
127	158	1078
128	158	1070
129	158	1062
130	158	1054
131	159	1047
132	159	1039
133	159	1031
134	159	1023
135	159	1016
136	160	1008
137	160	1001
138	160	994
139	160	987
140	160	979
141	161	973
142	161	966
143	161	959
144	161	953
145	161	947
146	162	940
147	162	934
148	162	927
149	162	921
150	162	915
151	162	909
152	163	903
153	163	897
154	163	891
155	163	885
156	163	880
157	164	874
158	164	869
159	164	863
160	164	858
161	164	853
162	165	848
163	165	842
164	165	837
165	165	832
166	165	827
167	166	822
168	166	817
169	166	812
170	166	808
171	166	803
172	167	798
173	167	794
174	167	789
175	167	785
176	168	781
177	168	776
178	168	772
179	168	767
180	168	763
181	168	758
182	169	754
183	169	750
184	169	746
185	169	742
186	169	738
187	169	734
188	170	730
189	170	725
190	170	722
191	170	718
192	170	714
193	171	710
194	171	706
195	171	703
196	171	699
197	171	695
198	171	692
199	172	688
200	172	685
201	172	682
202	172	678
203	173	675
204	173	671
205	173	669
206	173	665
207	173	662
208	174	659
209	174	656
210	174	652
211	174	649
212	175	646
213	175	643
214	175	640
215	175	636
216	175	633
217	175	630
218	176	627
219	176	625
220	176	622
221	176	619
222	176	616
223	177	613
224	177	610
225	177	608
226	177	605
227	177	602
228	178	599
229	178	597
230	178	594
231	178	591
232	178	589
233	179	586
234	179	583
235	179	581
236	179	578
237	179	576
238	180	573
239	180	570
240	180	568
241	180	566
242	180	563
243	181	561
244	181	558
245	181	556
246	181	553
247	181	551
248	182	549
249	182	546
250	182	544
251	182	542
252	182	539
253	183	537
254	183	535
255	183	533
256	183	530
257	183	528
258	184	526
259	184	524
260	184	522
261	184	520
262	184	518
263	185	516
264	185	514
265	185	512
266	185	509
267	185	507
268	186	505
269	186	503
270	186	501
271	186	499
272	186	497
273	187	495
274	187	493
275	187	491
